File Name,Hash,File Type,File Size,Entropy,Ransomware,Ransomware Type,High Entropy,Date
0033-csv.csv,01544fb67a9eeede339f590f92313f4c,.csv,45334,4.994199403686332,0,,0,2024-05-26
0023-csv.csv,5a74004256c4b94566332a2ee3f3a233,.csv,130,4.978422003067438,0,,0,2024-05-26
0051-csv.csv,4112514dc53e6d0331e53b5be0478918,.csv,132,4.745453235922954,0,,0,2024-05-26
0041-csv.csv,f68ccc79b85692826e4fc4b71ea0dfbb,.csv,153,5.107805368322021,0,,0,2024-05-26
0077-csv.csv,62f492b20b71cd6c9ded31089d15e903,.csv,1465,5.275695550829145,0,,0,2024-05-26
0067-csv.csv,24c794bb9ff8eff5c7a4681635d42f2a,.csv,242,4.967911315628541,0,,0,2024-05-26
0015-csv.csv,00bcb85fcb458d600bf1f3198a7e6d20,.csv,20510658,5.285194149218126,0,,0,2024-05-26
0005-csv.csv,7f99d27e8f64464578cd66a82669f6e3,.csv,3174,4.998709098290255,0,,0,2024-05-26
0048-csv.csv,9efca0262603c8d322da70155112ea11,.csv,39712,4.306538399331046,0,,0,2024-05-26
0058-csv.csv,0756910cc87bb4ef6c715557d0f4ff53,.csv,1494,5.26263401913619,0,,0,2024-05-26
0093-csv.csv,077bfb63f1c42ad9579e7cd3375c34db,.csv,137536,5.047558365015472,0,,0,2024-05-26
0083-csv.csv,1d58d41e9207152066839607f3931b99,.csv,65746,5.22585639557937,0,,0,2024-05-26
0066-csv.csv,7ccce9a67f9e1e2e02e183bb63b5a74c,.csv,12904,5.4156852917773195,0,,0,2024-05-26
0076-csv.csv,c860ce74079afdebbc9bebc1010819ee,.csv,2035,5.187885754517373,0,,0,2024-05-26
0004-csv.csv,bd373c7f15d15231a771742b405bdaa8,.csv,428,4.244456871895033,0,,0,2024-05-26
0014-csv.csv,a3da097689d4375a7dde2e64a4cf795b,.csv,55526,5.379502761430777,0,,0,2024-05-26
0059-csv.csv,cfbcc9dba253a105a89ad97b6f5b854f,.csv,148,5.171937660412598,0,,0,2024-05-26
0049-csv.csv,ad30a44e9b36339b2e6b8f06fec16c83,.csv,11533,5.4022773008208524,0,,0,2024-05-26
0082-csv.csv,72c9ffbbbbb009b8933500c8b04cccb6,.csv,175,4.8240053227978725,0,,0,2024-05-26
0092-csv.csv,ad8de4fde8072aae499cc5acf67acabe,.csv,155514,5.046122479199964,0,,0,2024-05-26
0022-csv.csv,8e0d7f9afc2301218832597e4e429245,.csv,10725,5.201743791338864,0,,0,2024-05-26
0032-csv.csv,1e4f30b251179cec56ff794fba65515b,.csv,138,5.141340541019138,0,,0,2024-05-26
0040-csv.csv,984dd46964fc9502f829f4fc7268abbe,.csv,339,4.903991954574157,0,,0,2024-05-26
0050-csv.csv,c6413de057adb3704e7555d628baa57e,.csv,9545,5.417393389096471,0,,0,2024-05-26
0016-csv.csv,43f555cf800b6d5e49929e809af012d0,.csv,10404,4.888591156064614,0,,0,2024-05-26
0006-csv.csv,d08a9d0f892bfa478bec535e75c697e3,.csv,128,4.702179144443255,0,,0,2024-05-26
0074-csv.csv,296c511d6752ebe28890fe93fdace465,.csv,2828,5.426073255222611,0,,0,2024-05-26
0064-csv.csv,07f6a14492ef7a9af034ae962ed8d370,.csv,40475,4.24182781476329,0,,0,2024-05-26
0029-csv.csv,b9eabeeb52ee130aa80c6fa8ce921d37,.csv,2658,5.358944434557908,0,,0,2024-05-26
0039-csv.csv,01ee78b467d23febc082e55faa2a57df,.csv,18061,5.393314974679632,0,,0,2024-05-26
